ensemble,leadtime,year,precipitation
7,5,2001,57.97359719872475
7,5,2002,52.23965272307396
7,5,2003,66.90039485692978
7,5,2004,52.418190985918045
7,5,2005,59.8338209092617
7,5,2006,92.25267171859741
7,5,2007,59.5034696161747
7,5,2008,47.3177395761013
7,5,2009,70.37580758333206
7,5,2010,69.38573718070984
7,5,2011,54.810017347335815
7,5,2012,58.81316587328911
7,5,2013,39.32042047381401
7,5,2014,46.079348772764206
7,5,2015,54.56599220633507
8,2,1981,59.68078598380089
8,2,1982,39.1695536673069
8,2,1983,52.27549001574516
8,2,1984,70.75303792953491
8,2,1985,53.77732217311859
8,2,1986,70.24560868740082
8,2,1987,56.79524317383766
8,2,1988,51.109857857227325
8,2,1989,53.30810323357582
8,2,1990,48.896510154008865
8,2,1991,47.886550426483154
8,2,1992,64.18395787477493
8,2,1993,61.10023334622383
8,2,1994,79.4156938791275
8,2,1995,57.67008662223816
8,2,1996,54.5392706990242
8,2,1997,40.42359068989754
8,2,1998,103.3739447593689
8,2,1999,42.57369413971901
8,2,2000,52.27131396532059
8,2,2001,46.874530613422394
8,2,2002,44.965215027332306
8,2,2003,46.47509008646011
8,2,2004,71.7238336801529
8,2,2005,75.78100264072418
8,2,2006,116.409070789814
8,2,2007,84.89387482404709
8,2,2008,32.98860043287277
8,2,2009,70.46768814325333
8,2,2010,50.843626260757446
8,2,2011,68.94835829734802
8,2,2012,63.833147287368774
8,2,2013,62.47115507721901
8,2,2014,51.543381065130234
8,2,2015,39.550818502902985
8,3,1981,39.62436318397522
8,3,1982,63.915468752384186
8,3,1983,89.10524100065231
8,3,1984,48.59304428100586
8,3,1985,50.1495786011219
8,3,1986,123.35827201604843
8,3,1987,40.17235338687897
8,3,1988,68.94540786743164
8,3,1989,36.02541238069534
8,3,1990,42.11460053920746
8,3,1991,44.668130576610565
8,3,1992,39.409469813108444
8,3,1993,49.771349877119064
8,3,1994,26.115724816918373
8,3,1995,65.93400239944458
8,3,1996,72.65736162662506
8,3,1997,61.71385571360588
8,3,1998,75.64201951026917
8,3,1999,44.425055384635925
8,3,2000,65.74705243110657
8,3,2001,42.60031878948212
8,3,2002,40.28761759400368
8,3,2003,68.70866566896439
8,3,2004,86.51775866746902
8,3,2005,52.30836942791939
8,3,2006,56.986626237630844
8,3,2007,50.465553998947144
8,3,2008,62.87046521902084
8,3,2009,40.75105860829353
8,3,2010,46.69719189405441
8,3,2011,62.467869371175766
8,3,2012,48.44089597463608
8,3,2013,69.00016963481903
8,3,2014,75.51344484090805
8,3,2015,49.055252224206924
8,4,1981,58.933764696121216
8,4,1982,85.6471061706543
8,4,1983,69.25039738416672
8,4,1984,59.01239812374115
8,4,1985,38.092274218797684
8,4,1986,50.44553428888321
8,4,1987,34.26029160618782
8,4,1988,40.94861075282097
8,4,1989,41.37656092643738
8,4,1990,59.42723527550697
8,4,1991,37.155766040086746
8,4,1992,55.80604821443558
8,4,1993,40.47413542866707
8,4,1994,41.294753551483154
8,4,1995,42.77515038847923
8,4,1996,45.11677846312523
8,4,1997,34.86423194408417
8,4,1998,66.00631773471832
8,4,1999,52.13942378759384
8,4,2000,48.237212002277374
8,4,2001,89.73906189203262
8,4,2002,52.758775651454926
8,4,2003,53.98361384868622
8,4,2004,57.31358751654625
8,4,2005,83.8814303278923
8,4,2006,38.17983716726303
8,4,2007,67.20153987407684
8,4,2008,45.940279960632324
8,4,2009,31.129011884331703
8,4,2010,109.55557972192764
8,4,2011,53.39378118515015
8,4,2012,42.16141253709793
8,4,2013,82.87110924720764
8,4,2014,48.90316352248192
8,4,2015,52.328579127788544
8,5,1981,60.653820633888245
8,5,1982,99.40270334482193
8,5,1983,43.234311044216156
8,5,1984,72.13084399700165
8,5,1985,50.74005201458931
8,5,1986,79.70190793275833
8,5,1987,52.568867802619934
8,5,1988,41.08469933271408
8,5,1989,34.263838082551956
8,5,1990,44.12712901830673
8,5,1991,79.91832494735718
8,5,1992,66.22723489999771
8,5,1993,51.505908370018005
8,5,1994,53.77040430903435
8,5,1995,58.10219421982765
8,5,1996,61.03140860795975
8,5,1997,77.09355652332306
8,5,1998,64.18553739786148
8,5,1999,82.12459087371826
8,5,2000,43.834175914525986
8,5,2001,68.01562011241913
8,5,2002,51.16816237568855
8,5,2003,52.82283201813698
8,5,2004,65.37655740976334
8,5,2005,91.11366420984268
8,5,2006,47.963500022888184
8,5,2007,26.583293452858925
8,5,2008,57.661592960357666
8,5,2009,55.86732551455498
8,5,2010,48.533257097005844
8,5,2011,56.50602653622627
8,5,2012,86.79676800966263
8,5,2013,130.1884800195694
8,5,2014,98.28880429267883
8,5,2015,38.95033150911331
9,2,1981,61.2163282930851
9,2,1982,56.09913915395737
9,2,1983,105.32357543706894
9,2,1984,48.336029052734375
9,2,1985,77.95178145170212
9,2,1986,86.47426217794418
9,2,1987,63.028186559677124
9,2,1988,60.36050617694855
9,2,1989,65.98902493715286
9,2,1990,72.62164354324341
9,2,1991,69.37280297279358
9,2,1992,44.04537379741669
9,2,1993,40.11252522468567
9,2,1994,51.182687282562256
9,2,1995,68.08330863714218
9,2,1996,72.0180794596672
9,2,1997,65.94584137201309
9,2,1998,53.51561680436134
9,2,1999,76.72477513551712
9,2,2000,33.33690017461777
9,2,2001,51.60945653915405
9,2,2002,61.99974566698074
9,2,2003,55.78437075018883
9,2,2004,58.66134166717529
9,2,2005,53.12422290444374
9,2,2006,39.63245078921318
9,2,2007,50.918594002723694
9,2,2008,63.88317793607712
9,2,2009,46.52691259980202
9,2,2010,50.48641189932823
9,2,2011,51.16690322756767
9,2,2012,33.85334461927414
9,2,2013,67.5027146935463
9,2,2014,32.569676637649536
9,2,2015,46.93637788295746
9,3,1981,59.88474562764168
9,3,1982,85.73533594608307
9,3,1983,44.26367208361626
9,3,1984,69.17295604944229
9,3,1985,80.59607446193695
9,3,1986,48.406247049570084
9,3,1987,66.69536978006363
9,3,1988,59.42986160516739
9,3,1989,35.91645881533623
9,3,1990,69.04065608978271
9,3,1991,69.61102783679962
9,3,1992,47.93667420744896
9,3,1993,50.24256557226181
9,3,1994,60.99684163928032
9,3,1995,43.987855315208435
9,3,1996,78.19677144289017
9,3,1997,46.9224788248539
9,3,1998,30.437195673584938
9,3,1999,63.99736553430557
9,3,2000,50.794828683137894
9,3,2001,66.50111824274063
9,3,2002,54.79422211647034
9,3,2003,43.261267244815826
9,3,2004,76.82424783706665
9,3,2005,73.78818839788437
9,3,2006,60.812342911958694
9,3,2007,57.20466747879982
9,3,2008,64.028799533844
9,3,2009,54.774150252342224
9,3,2010,64.29561227560043
9,3,2011,38.89292851090431
9,3,2012,54.317161440849304
9,3,2013,43.22173818945885
9,3,2014,69.46804374456406
9,3,2015,50.94585567712784
9,4,1981,36.81052103638649
9,4,1982,74.08551871776581
9,4,1983,49.10381883382797
9,4,1984,39.07936066389084
9,4,1985,64.19077515602112
9,4,1986,33.19912776350975
9,4,1987,94.28172558546066
9,4,1988,97.60788828134537
9,4,1989,99.03033077716827
9,4,1990,84.21770483255386
9,4,1991,62.829457223415375
9,4,1992,79.61916923522949
9,4,1993,91.00497514009476
9,4,1994,45.52711918950081
9,4,1995,66.85682386159897
9,4,1996,72.56955653429031
9,4,1997,69.15798038244247
9,4,1998,40.375057607889175
9,4,1999,64.14858996868134
9,4,2000,56.42147362232208
9,4,2001,53.33632230758667
9,4,2002,47.46769741177559
9,4,2003,61.38494238257408
9,4,2004,50.27466267347336
9,4,2005,67.90994852781296
9,4,2006,86.53556555509567
9,4,2007,40.886446833610535
9,4,2008,61.18393689393997
9,4,2009,59.58576127886772
9,4,2010,71.30980491638184
9,4,2011,64.65769559144974
9,4,2012,89.82028812170029
9,4,2013,33.93446281552315
9,4,2014,97.35190868377686
9,4,2015,73.3337551355362
9,5,1981,47.50629514455795
9,5,1982,55.79674243927002
9,5,1983,47.90477082133293
9,5,1984,55.4673857986927
9,5,1985,51.76311358809471
9,5,1986,55.15725165605545
9,5,1987,54.2706735432148
9,5,1988,54.25484851002693
9,5,1989,48.59157279133797
9,5,1990,32.78780356049538
9,5,1991,81.56383782625198
9,5,1992,66.9502317905426
9,5,1993,30.1474928855896
9,5,1994,66.19556248188019
9,5,1995,69.48614865541458
9,5,1996,77.47241109609604
9,5,1997,50.14576017856598
9,5,1998,43.18417236208916
9,5,1999,56.22321367263794
9,5,2000,64.87257033586502
9,5,2001,72.49138504266739
9,5,2002,46.725742518901825
9,5,2003,54.207056760787964
9,5,2004,69.04895603656769
9,5,2005,54.82563376426697
9,5,2006,38.61575201153755
9,5,2007,78.41567695140839
9,5,2008,47.29361832141876
9,5,2009,66.37638062238693
9,5,2010,42.81165450811386
9,5,2011,53.59506607055664
9,5,2012,55.699557065963745
9,5,2013,57.522159069776535
9,5,2014,71.36726379394531
9,5,2015,50.20441487431526
10,2,1981,41.273992508649826
10,2,1982,49.06189441680908
10,2,1983,70.72387635707855
10,2,1984,76.29881799221039
10,2,1985,57.3626309633255
10,2,1986,68.0423155426979
10,2,1987,50.46363174915314
10,2,1988,73.30511510372162
10,2,1989,59.87143889069557
10,2,1990,53.372953087091446
10,2,1991,54.421037435531616
10,2,1992,58.61455574631691
10,2,1993,62.15107813477516
10,2,1994,62.38589808344841
10,2,1995,47.618962824344635
10,2,1996,36.32363677024841
10,2,1997,53.081851452589035
10,2,1998,87.22223341464996
10,2,1999,54.747074842453
10,2,2000,48.23940992355347
10,2,2001,59.52148884534836
10,2,2002,82.5270339846611
10,2,2003,48.89616742730141
10,2,2004,74.50580596923828
10,2,2005,45.64398154616356
10,2,2006,36.32703050971031
10,2,2007,58.60047787427902
10,2,2008,74.60243999958038
10,2,2009,41.27215966582298
10,2,2010,51.5153594315052
10,2,2011,39.825212210416794
10,2,2012,59.79466810822487
10,2,2013,48.659298568964005
10,2,2014,51.51648446917534
